PortalURI	DatasetFilePath	DatasetName	NumMatchingSubjects	AvailableImageModalities
https://openneuro.org/datasets/ds000001	https://github.com/OpenNeuroDatasets/ds000001	ds000001	5	[T1,T2,bold]
https://openneuro.org/datasets/ds000002	https://github.com/OpenNeuroDatasets/ds000002	ds000002	6	[T1,T2,bold]
https://openneuro.org/datasets/ds000200	https://github.com/OpenNeuroDatasets/ds000200	ds000200	5	[T1,T2,bold]
https://openneuro.org/datasets/ds001226	https://github.com/OpenNeuroDatasets/ds001226	ds001226	6	[T1,T2,bold]
